Time,Tc,T
9.200000000000001066e+00,3.030000000000000000e+02,3.327609514311010344e+02
9.300000000000000711e+00,3.030000000000000000e+02,3.327470308299060662e+02
9.400000000000000355e+00,3.030000000000000000e+02,3.327336554305186951e+02
9.500000000000000000e+00,3.030000000000000000e+02,3.327208349356889698e+02
9.600000000000001421e+00,3.030000000000000000e+02,3.327085760322078727e+02
9.700000000000001066e+00,3.030000000000000000e+02,3.326968825942738590e+02
9.800000000000000711e+00,3.030000000000000000e+02,3.326857558847364089e+02
9.900000000000000355e+00,3.030000000000000000e+02,3.326751947530097482e+02
1.000000000000000000e+01,2.970000000000000000e+02,3.313907882835130181e+02
1.010000000000000142e+01,2.970000000000000000e+02,3.301003236976075641e+02
1.020000000000000107e+01,2.970000000000000000e+02,3.288458997771467125e+02
1.030000000000000071e+01,2.970000000000000000e+02,3.276602114200434244e+02
1.040000000000000036e+01,2.970000000000000000e+02,3.265656846735743670e+02
1.050000000000000000e+01,2.970000000000000000e+02,3.255751918242733609e+02
1.060000000000000142e+01,2.970000000000000000e+02,3.246936753699542351e+02
1.070000000000000107e+01,2.970000000000000000e+02,3.239200868972380363e+02
1.080000000000000071e+01,2.970000000000000000e+02,3.232492422510672441e+02
1.090000000000000036e+01,2.970000000000000000e+02,3.226733937737524798e+02
1.100000000000000000e+01,2.970000000000000000e+02,3.221834515709948619e+02
1.110000000000000142e+01,2.970000000000000000e+02,3.217698677825493405e+02
1.120000000000000107e+01,2.970000000000000000e+02,3.214232354429096290e+02
1.130000000000000071e+01,2.970000000000000000e+02,3.211346641425495818e+02
1.140000000000000036e+01,2.970000000000000000e+02,3.208959912560788439e+02
1.150000000000000000e+01,2.970000000000000000e+02,3.206998803074085345e+02
1.160000000000000142e+01,2.970000000000000000e+02,3.205398400075040968e+02
1.170000000000000107e+01,2.970000000000000000e+02,3.204101964180759978e+02
1.180000000000000071e+01,2.970000000000000000e+02,3.203060371924257765e+02
1.190000000000000036e+01,2.970000000000000000e+02,3.202231416972999796e+02
1.200000000000000000e+01,2.970000000000000000e+02,3.201579060857905006e+02
1.210000000000000142e+01,2.970000000000000000e+02,3.201072710551794671e+02
1.220000000000000107e+01,2.970000000000000000e+02,3.200686451140012991e+02
1.230000000000000071e+01,2.970000000000000000e+02,3.200398472278266127e+02
1.240000000000000036e+01,2.970000000000000000e+02,3.200190465111691083e+02
1.250000000000000000e+01,2.970000000000000000e+02,3.200047110950422393e+02
1.260000000000000142e+01,2.970000000000000000e+02,3.199955634332310410e+02
1.270000000000000107e+01,2.970000000000000000e+02,3.199905415652407328e+02
1.280000000000000071e+01,2.970000000000000000e+02,3.199887657227188242e+02
1.290000000000000036e+01,2.970000000000000000e+02,3.199895098111159086e+02
1.300000000000000000e+01,2.970000000000000000e+02,3.199921770174871654e+02
1.310000000000000142e+01,2.970000000000000000e+02,3.199962789910916285e+02
1.320000000000000107e+01,2.970000000000000000e+02,3.200014182224626325e+02
1.330000000000000071e+01,2.970000000000000000e+02,3.200072731128398118e+02
1.340000000000000036e+01,2.970000000000000000e+02,3.200135853447324621e+02
1.350000000000000000e+01,2.970000000000000000e+02,3.200201492150168292e+02
1.360000000000000142e+01,2.970000000000000000e+02,3.200268026381926347e+02
1.370000000000000107e+01,2.970000000000000000e+02,3.200334195686900784e+02
1.380000000000000071e+01,2.970000000000000000e+02,3.200399036273961997e+02
1.390000000000000036e+01,2.970000000000000000e+02,3.200461827491124609e+02
